Volcano,Event,Magnitude,VEI,SampleID,SampleObservationID,IGSN,Location,Latitude,Longitude,Authors,DOI,TypeOfRegister,TypeOfAnalysis,AnalyzedMaterial,AnalyticalTechnique,TypeOfSection,SectionID,SubSectionID,SubSection_DistanceFromTop_cm,HistoricalAge,RadiocarbonAge,RadiocarbonAgeError,RadiocarbonLabCode,StratigraphicPosition,Ar40Ar39_Age,Ar40Ar39_Age_Error,DepositColor,DepositThickness_cm,GrainSize_min,GrainSize_max,SiO2,TiO2,Al2O3,FeO,Fe2O3,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,Cl,LOI,Total,SiO2_normalized,TiO2_normalized,Al2O3_normalized,FeOT_normalized,MnO_normalized,MgO_normalized,CaO_normalized,Na2O_normalized,K2O_normalized,P2O5_normalized,Cl_normalized,Total_normalization,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,La_Yb,Zr_Nb,Sr87_Sr86,Sr87_Sr86_2SE,Nd143_Nd144,Nd143_Nd144_2SE,MeasurementRun,Comments,Flag,FlagDescription
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_15,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,72.788002,0.477168,14.11622,,,,3.151297,0.089469,0.248525,1.272448,4.026105,3.071769,,0.178938,,99.41,73.21267873,0.479952005,14.19858014,3.169683032,0.089991001,0.249975002,1.279872013,4.04959504,3.089691031,,0.179982002,99.419941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_16,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,73.518542,0.338062,13.731283,,,,2.793983,0.079544,0.278404,0.954528,4.205889,3.301076,,0.238632,,99.43,73.93260674,0.339966003,13.80861914,2.809719028,0.079992001,0.279972003,0.95990401,4.229577042,3.319668033,,0.239976002,99.439943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_2,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,70.808976,0.573272,14.272496,,,,3.696616,0.108724,0.553504,1.63086,4.210584,2.777404,,0.207564,,98.84,71.64,0.58,14.44,3.74,0.11,0.56,1.65,4.26,2.81,,0.21,98.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_3,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,71.409724,0.618698,14.529424,,,,3.712188,0.019958,0.558824,1.656514,4.131306,2.953784,,0.209559,,99.79,71.55284472,0.619938006,14.55854415,3.719628037,0.019998,0.559944006,1.659834017,4.139586041,2.95970403,,0.209979002,99.799979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_4,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,72.309517,0.434588,14.272265,,,,2.617405,0.108647,0.237048,1.293887,4.276741,3.032239,,0.207417,,98.77,73.19536093,0.439912018,14.44711058,2.649470106,0.109978004,0.23995201,1.309738052,4.329134173,3.069386123,,0.209958008,98.789754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_5,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,72.715275,0.456642,14.215464,,,,3.156786,0.059562,0.287883,1.280583,4.099851,2.769633,,0.228321,,99.27,73.25,0.46,14.32,3.18,0.06,0.29,1.29,4.13,2.79,,0.23,99.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_6,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,72.087588,0.478656,14.389596,,,,3.609864,0.079776,0.34902,1.505772,3.909024,3.14118,,0.14958,,99.72,72.30446089,0.480096019,14.43288658,3.620724145,0.080016003,0.350070014,1.51030206,3.920784157,3.150630126,,0.150030006,99.700056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_7,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,71.78162,0.52417,14.07347,,,,3.34282,0.04945,0.44505,1.45383,4.08457,2.95711,,0.18791,,98.9,72.58,0.53,14.23,3.38,0.05,0.45,1.47,4.13,2.99,,0.19,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_8,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,71.68645,0.456412,14.347212,,,,3.482622,0.119064,0.416724,1.468456,4.077942,2.9766,,0.19844,,99.22,72.24277572,0.459954005,14.45855414,3.509649035,0.119988001,0.419958004,1.479852015,4.109589041,2.99970003,,0.199980002,99.229922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8,PCC-8_9,,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,,,,2011.0,,,,,,,,,,,70.887336,0.505206,14.373606,,,,4.031742,0.09906,0.435864,1.703832,4.021836,2.813304,,0.19812,,99.06,71.55284472,0.509949005,14.50854915,4.069593041,0.099990001,0.439956004,1.719828017,4.059594041,2.839716028,,0.199980002,99.069906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25th August, 2013",,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-8 (2),PCC-8 (2),,Arroyo Ragintuco,-40.861998,-71.510465,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Bulk,Bulk glass,"XRF, SN-ICP-MS",Outcrop,,,,2011.0,,,,,,,,,,,65.42552481,0.950080229,15.00126677,,,,5.360452659,0.140011823,1.310110631,3.480293891,5.080429013,2.240189171,0.190016046,,0.331624962,99.51,65.9675305,0.957950993,15.125542,5.40486034,0.141171725,1.320964001,3.509125744,5.12251689,2.258747605,0.191590199,,99.17837504,57.14,242.6,48.52,272.79,8.77,4.74,629.16,26.05,59.47,7.7,32.77,7.63,1.89,7.87,1.25,7.97,1.67,5.01,0.76,5.06,0.8,6.94,0.49,21.53,6.88,1.82,5.148221344,31.10490308,,,,,AllowaySOLICPMS2015,,SampleID_Issue,"A specific SampleID is not provided in the publication, so an specific SampleID is provided here."
Chaitén,Cha1,,,Ant-1,14_05_3-1,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,73.11546,0.080519,13.501429,,,,1.325298,0.212,0.067,1.147372,3.719576,2.927109,,0.075,,96.170763,76.02670263,0.08372503,14.0390162,1.378067469,0.220441217,0.069667743,1.193056979,3.867678579,3.043657873,,0.077986279,96.170763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-10,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,72.62145,0.098167,13.309719,,,,1.225926,0.201,0.063,1.011986,3.510376,2.957379,,0.083,,95.082003,76.37770315,0.103244565,13.99814747,1.28933548,0.211396472,0.066258596,1.064329703,3.691945783,3.110345709,,0.087293071,95.082003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-11,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,72.83529,0.083828,13.182585,,,,1.307046,0.224,0.08,1.157112,3.777106,2.950316,,0.081,,95.678283,76.12520597,0.087614449,13.77803258,1.366084297,0.234117914,0.083613541,1.20937789,3.947715073,3.083579583,,0.08465871,95.678283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-12,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,72.48978,0.070592,13.375304,,,,1.273584,0.237,0.067,1.133736,3.892166,2.924082,,0.086,,95.549244,75.86640874,0.073880229,13.99833577,1.332908505,0.248039639,0.070120911,1.18654628,4.073466034,3.06028795,,0.090005945,95.549244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-13,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,72.7056,0.092652,13.313755,,,,1.307046,0.198,0.055,1.107438,3.741542,2.847398,,0.088,,95.456431,76.16626689,0.097062083,13.94746782,1.369259238,0.207424474,0.057617909,1.160150226,3.919633241,2.982929458,,0.092188655,95.456431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-14,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,74.28366,0.086034,13.452997,,,,1.235052,0.227,0.079,1.147372,3.827314,3.001775,,0.093,,97.433204,76.24060069,0.088300494,13.80740492,1.267588409,0.232980125,0.081081189,1.177598553,3.928141376,3.080854243,,0.095450007,97.433204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-15,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,72.70956,0.104785,13.062514,,,,1.29792,0.218,0.043,1.10062,3.511422,2.906929,,0.078,,95.03275,76.51000313,0.110261989,13.74527623,1.365760751,0.229394603,0.045247559,1.158148112,3.694959895,3.058870758,,0.082076968,95.03275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-17,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,74.41236,0.123536,13.534726,,,,1.342536,0.223,0.08,1.062634,3.841958,2.860515,,0.082,,97.563265,76.27087921,0.126621429,13.87276861,1.376067109,0.228569636,0.081998076,1.089174291,3.937914542,2.931959073,,0.084048028,97.563265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-18,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,73.2402,0.105888,13.218909,,,,1.354704,0.214,0.069,1.10549,3.701794,2.882713,,0.082,,95.974698,76.31198798,0.110329079,13.77332701,1.411522024,0.222975435,0.071893949,1.151855669,3.857051991,3.003617683,,0.085439185,95.974698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-2,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,72.80163,0.093755,13.415664,,,,1.204632,0.207,0.083,1.125944,3.74991,2.860515,,0.08,,95.62205,76.13477226,0.098047469,14.02988537,1.259784746,0.216477266,0.086800063,1.177494103,3.92159549,2.991480521,,0.083662712,95.62205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-21,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,73.51542,0.098167,13.459051,,,,1.228968,0.239,0.033,1.09088,3.662046,2.789885,,0.091,,96.207417,76.41346405,0.102036832,13.98961891,1.277415025,0.248421595,0.03430089,1.133883472,3.806407151,2.899864779,,0.094587302,96.207417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-22,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,72.92439,0.115815,13.121036,,,,1.180296,0.204,0.067,1.162956,3.731082,2.696048,,0.082,,95.284623,76.53321985,0.12154637,13.77036041,1.238705641,0.214095406,0.070315648,1.220507531,3.915723107,2.829468087,,0.086057957,95.284623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-3,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,73.12041,0.086034,13.316782,,,,1.367886,0.202,0.069,1.102568,3.7133,2.890785,,0.077,,95.945765,76.21014851,0.089669409,13.87948911,1.425686689,0.210535608,0.071915629,1.149157547,3.870207299,3.012936527,,0.080253672,95.945765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-5,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,75.08358,0.09927,13.556924,,,,1.304004,0.22,0.065,1.133736,3.68192,2.872623,,0.077,,98.094057,76.54243519,0.101198791,13.82033164,1.329340472,0.224274545,0.066262934,1.155764207,3.753458785,2.928437347,,0.078496091,98.094057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-6,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,73.81638,0.102579,13.332926,,,,1.174212,0.216,0.07,1.162956,3.918316,2.823182,,0.081,,96.697551,76.33738315,0.106082314,13.78827681,1.214314104,0.223376908,0.072390665,1.202673685,4.052135715,2.919600311,,0.083766341,96.697551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-8,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,73.32732,0.098167,13.29862,,,,1.370928,0.192,0.069,1.137632,3.669368,2.869596,,0.063,,96.095631,76.30661169,0.102155529,13.83894342,1.426628855,0.199800967,0.071803473,1.18385403,3.818454556,2.98618779,,0.065559692,96.095631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,Ant-1,14_05_3-9,,Antillanca,-40.77416667,-72.20333333,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Antillanca,Ant-1,,,,,,,,,,,,,72.78084,0.116918,13.336962,,,,1.18638,0.189,0.045,1.089906,3.72376,2.881704,,0.092,,95.44247,76.25624106,0.122501021,13.97382318,1.243031535,0.198025051,0.047148822,1.141950748,3.901575473,3.019309957,,0.096393147,95.44247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Sep-14,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,9J13S5-T2,13-05-30-1,,Cholgo,-42.07583333,-72.44861111,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Cholgo,9J13S5-T2,,,,,,,,,,,,,73.18107,0.087,13.279868,,,,1.404144,0.188,0.047,1.129131,3.576378,2.876068,,0.084,,95.852659,76.34745949,0.090764305,13.85445969,1.464898329,0.196134361,0.04903359,1.177986101,3.731120281,3.000509355,,0.087634502,95.852659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-Abr-13,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,9J13S5-T2,13-05-30-10,,Cholgo,-42.07583333,-72.44861111,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Cholgo,9J13S5-T2,,,,,,,,,,,,,74.249202,0.072,13.675382,,,,1.333584,0.185,0.087,1.202706,4.011384,3.019328,,0.071,,97.906586,75.83677976,0.073539486,13.96778558,1.362098358,0.188955623,0.088860212,1.228421957,4.097154404,3.083886512,,0.072518104,97.906586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-Abr-13,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,9J13S5-T2,13-05-30-11,,Cholgo,-42.07583333,-72.44861111,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Cholgo,9J13S5-T2,,,,,,,,,,,,,74.440584,0.086,13.38309,,,,1.2096,0.184,0.071,1.187991,3.906942,2.883972,,0.065,,97.418179,76.4134423,0.088279211,13.73777475,1.241657371,0.188876452,0.072881674,1.219475679,4.010485558,2.960404341,,0.06672266,97.418179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-Abr-13,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
Chaitén,Cha1,,,9J13S5-T2,13-05-30-12,,Cholgo,-42.07583333,-72.44861111,"Alloway et al., 2017a",https://doi.org/10.1016/j.quascirev.2017.05.011,Pyroclastic material,Micro Analytical,Glass shards,EMP,Outcrop,Cholgo,9J13S5-T2,,,,,,,,,,,,,73.91754,0.125,13.530258,,,,1.342656,0.194,0.065,1.176219,3.864354,2.87508,,0.089,,97.179107,76.06320153,0.128628472,13.92301125,1.381630313,0.199631388,0.066886805,1.210362017,3.976527588,2.958537168,,0.091583472,97.179107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-Abr-13,,Geochemistry_Issue,"The data is published normalized in the original publication. The original analytical total was not directly published by the authors, however they publish H2O ""by difference"". H2O is not analyzed by EMP, thus the original analytical total can be obtained as 100- reported H2O. This is the analytical total here reported."
